steamid,wave
76561199149016208, 79.78
76561199812241509, 79.76
76561199181894297, 79.75
76561199634800406, 79.72
76561199323613529, 79.71
76561199038190461, 79.71
76561198973278778, 79.71
76561199542838993, 79.71
76561199469999042, 79.64
76561198108743834, 79.63
76561198954649533, 79.62
76561199585134873, 79.58
76561198086888384, 79.54
76561199289814439, 79.50
76561198826354377, 79.50
76561199154639979, 79.43
76561198315835639, 79.42
76561199213276860, 79.39
76561199192511320, 79.39
76561199663661904, 79.36
76561198156071118, 79.30
76561199217584426, 79.29
76561199002011258, 79.28
76561199066771552, 79.23
76561199163071735, 79.21
76561199069964864, 79.21
76561198126523309, 79.21
76561199437958667, 79.17
76561199070268698, 79.16
76561198871297903, 79.14
76561198451635598, 79.11
76561198838099949, 79.07
76561199524555366, 78.97
76561199540897697, 78.92
76561199104452580, 78.88
76561199286131898, 78.85
76561198767808531, 78.81
76561199001735375, 78.79
76561198910346851, 78.78
76561198253240961, 78.77
76561198872312027, 78.76
76561199795273431, 78.72
76561198116051157, 78.72
76561199484497339, 78.70
76561199159644969, 78.69
76561198080684621, 78.69
76561198157177033, 78.64
76561199026989009, 78.62
76561199169606152, 78.60
76561199241303916, 78.55
76561199183729969, 78.55
76561198292423735, 78.54
76561199353504416, 78.53
76561198868977188, 78.52
76561198242383210, 78.41
76561199663847769, 78.41
76561199468616223, 78.38
76561199238757547, 78.35
76561199261230434, 78.34
76561199186128934, 78.33
76561199063852585, 78.32
76561197963978473, 78.32
76561199864315796, 78.30
76561199089372068, 78.30
76561198044876799, 78.29
76561199219616620, 78.28
76561199254467126, 78.27
76561198434775148, 78.25
76561198346564125, 78.24
76561199550310568, 78.21
76561199242403493, 78.18
76561198171413026, 78.18
76561198241643880, 78.17
76561198324005270, 78.14
76561199240749328, 78.08
76561199777856500, 78.03
76561199202493166, 78.03
76561199043102276, 78.03
76561199034124009, 78.00
76561198818675138, 78.00
76561199201054077, 77.95
76561198896168511, 77.93
76561198104942793, 77.93
76561199209286516, 77.92
76561198146521869, 77.92
76561199230404859, 77.89
76561199768431696, 77.89
76561199333588125, 77.88
76561199209086097, 77.87
76561199063889086, 77.87
76561199472562266, 77.86
76561199381767469, 77.86
76561198970685583, 77.85
76561199073950656, 77.84
76561199096848748, 77.83
76561199229112883, 77.83
76561199040056417, 77.82
76561199177587199, 77.81
76561198865500431, 77.78
76561198403717531, 77.78
76561199122361892, 77.77
76561198153156942, 77.77
76561199198814183, 77.75
76561199121715729, 77.75
76561199038292551, 77.75
76561198983673277, 77.75
76561198168635573, 77.74
76561199145408542, 77.74
76561199544526635, 77.74
76561199727877932, 77.73
76561198798892732, 77.73
76561199124028577, 77.70
76561199809541218, 77.70
76561199128017664, 77.70
76561199223935611, 77.68
76561199491975857, 77.67
76561199485250934, 77.67
