steamid,wave
76561199603866907, 70.96
76561198044853463, 70.94
76561198093810676, 70.93
76561199040982763, 70.92
76561199178695543, 70.91
76561199217973125, 70.89
76561198424529605, 70.89
76561198874768775, 70.89
76561199042982072, 70.88
76561199491181727, 70.80
76561199100648390, 70.80
76561199520021952, 70.79
76561199406064084, 70.75
76561198332638459, 70.75
76561198278729853, 70.75
76561199782083633, 70.72
76561198131216787, 70.72
76561198142776311, 70.71
76561198096719064, 70.71
76561198060305727, 70.71
76561198978301738, 70.71
76561198798892732, 70.69
76561198121444668, 70.68
76561198191567165, 70.68
76561199752717565, 70.67
76561199554139395, 70.67
76561199209931394, 70.67
76561199188292005, 70.67
76561199146564632, 70.67
76561198217879236, 70.67
76561198044391172, 70.65
76561199032135869, 70.64
76561198248809286, 70.64
76561198990209208, 70.62
76561198447105184, 70.62
76561198199834021, 70.62
76561198320266588, 70.60
76561198288574270, 70.58
76561199076931116, 70.58
76561198831395598, 70.57
76561198937292542, 70.57
76561198340307349, 70.56
76561198234372736, 70.56
76561199406382716, 70.56
76561198078905356, 70.55
76561199045542702, 70.52
76561199437823421, 70.50
76561199126678966, 70.50
76561199124170061, 70.50
76561199520836688, 70.48
76561199054268567, 70.48
76561199488393801, 70.44
76561199172296813, 70.44
76561199084386619, 70.44
76561199045069204, 70.44
76561198340275125, 70.44
76561199115793790, 70.43
76561199093853775, 70.43
76561198007089891, 70.43
76561198927770281, 70.42
76561198115706283, 70.41
76561199508073241, 70.41
76561199107492535, 70.39
76561199063651035, 70.39
76561199190629286, 70.38
76561198980030130, 70.38
76561198333011814, 70.38
76561198835575195, 70.37
76561199108268988, 70.36
76561198869619743, 70.35
76561199523062287, 70.35
76561198925826252, 70.34
76561199068361681, 70.33
76561198873763699, 70.33
76561199136007427, 70.30
76561199126204627, 70.30
76561199548494196, 70.29
76561198142927219, 70.23
76561199488313227, 70.17
76561198151028042, 70.17
76561198117607425, 70.15
76561199143345865, 70.13
76561198208952475, 70.10
76561199820602886, 70.00
76561199107518982, 70.00
76561198048687909, 70.00
76561198030967171, 69.97
76561199229518726, 69.97
76561198136199368, 69.95
76561198388679780, 69.89
76561199058195797, 69.86
76561199238506375, 69.85
76561198395016149, 69.84
76561198808114452, 69.83
76561199078612993, 69.82
76561198353968503, 69.81
76561198176872379, 69.79
76561198310844278, 69.79
76561198118026844, 69.79
76561198362490945, 69.79
76561199517946590, 69.77
76561199202707901, 69.75
76561199130188515, 69.75
76561199084666368, 69.75
76561199052939051, 69.75
76561198057394835, 69.75
76561198854524680, 69.74
76561199472982683, 69.74
76561199224876418, 69.74
76561198032209953, 69.74
76561198988077875, 69.73
76561198414606347, 69.73
76561199200735992, 69.72
76561198867832409, 69.69
76561198993177465, 69.68
76561199681111437, 69.68
76561199354391728, 69.68
76561198146685007, 69.67
76561199509695836, 69.64
76561199122150398, 69.64
76561198246139876, 69.63
76561198843620297, 69.62
76561198820308559, 69.57
76561198316027270, 69.57
76561198265131958, 69.57
76561199171176920, 69.57
76561199195772269, 69.56
76561198327149734, 69.56
76561198870893489, 69.55
76561199212822839, 69.53
76561199260227208, 69.50
76561199197565609, 69.50
76561198925034780, 69.50
76561198845087851, 69.50
76561198114849132, 69.50
76561199167872862, 69.48
76561198437692403, 69.48
76561199043221242, 69.46
76561199475240940, 69.42
76561198027293620, 69.42
76561198148640847, 69.38
76561199589586040, 69.37
76561199032624742, 69.37
76561198123196057, 69.36
76561199281799588, 69.35
76561198067026524, 69.35
76561199223537831, 69.35
76561199211445424, 69.33
76561199084224117, 69.33
76561198850902223, 69.33
76561198138624296, 69.33
76561198354562912, 69.31
76561199147562328, 69.30
76561198385035300, 69.30
76561198299479796, 69.30
76561199154853866, 69.28
76561199013407436, 69.27
76561198147122501, 69.26
76561198198653485, 69.23
76561199177891801, 69.22
76561198363913824, 69.21
76561199769104845, 69.21
76561199499645263, 69.20
76561198130774062, 69.18
76561198368809536, 69.17
76561197999879715, 69.17
76561199842122924, 69.16
76561198797157132, 69.15
76561198881827557, 69.15
76561199029305524, 69.14
76561199490786815, 69.08
76561199010672602, 69.06
76561198063299311, 69.05
76561199133373041, 69.04
76561199563788805, 69.00
76561198351906586, 69.00
76561198047092574, 69.00
76561198276716987, 68.96
76561198995314846, 68.95
76561198277194890, 68.94
76561199274072695, 68.94
76561198309887024, 68.91
76561198088026611, 68.91
76561198313201600, 68.88
76561199039370080, 68.88
76561198587633130, 68.87
76561198093746605, 68.86
76561198823564695, 68.86
76561199410268125, 68.84
76561199131824633, 68.84
76561199207672835, 68.82
76561198349467826, 68.82
76561198361309106, 68.82
76561199238396034, 68.81
76561199067006505, 68.81
76561198101155936, 68.79
76561198430912214, 68.78
76561198261369475, 68.78
76561199550214103, 68.78
76561198310926128, 68.77
76561199198500417, 68.77
76561199002765825, 68.76
76561198431402952, 68.76
76561198064568357, 68.76
76561198809022883, 68.74
76561198159266076, 68.71
76561198081414221, 68.69
76561198332014626, 68.68
76561198149480888, 68.68
76561199217844891, 68.67
76561198806119335, 68.65
76561198303988912, 68.65
76561198338591730, 68.64
76561199728202516, 68.63
76561199062447533, 68.58
76561198170690638, 68.56
76561199365375944, 68.54
76561199140367845, 68.54
76561198410719249, 68.53
76561198047728206, 68.52
76561198415266145, 68.50
76561198798243110, 68.48
76561198397856220, 68.47
76561198324488166, 68.46
76561198793505525, 68.45
76561198254221303, 68.44
76561199091975849, 68.44
76561198874311702, 68.43
76561199185714207, 68.42
76561198167884468, 68.41
76561198109581014, 68.41
76561198853020380, 68.38
76561198117437537, 68.38
76561199514931536, 68.36
76561199037172208, 68.36
76561199100833155, 68.33
76561199032502583, 68.33
76561199105267749, 68.29
76561199023486547, 68.27
76561199102139459, 68.27
76561199065997510, 68.26
76561198279635644, 68.26
76561198386301206, 68.26
76561199524794312, 68.25
76561199119625063, 68.25
76561198991145858, 68.25
76561198878508342, 68.25
76561199401424537, 68.24
76561198970125960, 68.24
76561198866663590, 68.23
76561198347185956, 68.23
76561198878620740, 68.21
76561199067875671, 68.21
76561198274173739, 68.20
76561199052064469, 68.19
76561198881670012, 68.16
76561198126760743, 68.15
76561198087467027, 68.15
76561198984576669, 68.15
76561199219786118, 68.11
76561198931151139, 68.06
76561199043421323, 68.00
76561198839535956, 68.00
76561198416199466, 68.00
76561199642396432, 67.90
76561198995605337, 67.89
76561198120665992, 67.88
76561198269071897, 67.87
76561198001278472, 67.86
76561198111834750, 67.82
76561198844668821, 67.81
76561199465779179, 67.81
76561198406217190, 67.80
76561198245142470, 67.80
76561199073025424, 67.78
76561198167426884, 67.77
76561199222884427, 67.76
76561199093482174, 67.76
76561198411386885, 67.76
76561198274312274, 67.75
76561198198454598, 67.75
76561199305849743, 67.73
76561198116620190, 67.71
76561198802076792, 67.71
76561198272600529, 67.69
76561198409857159, 67.68
76561199545841745, 67.67
76561198166587565, 67.67
76561199518845285, 67.66
76561199511658073, 67.65
76561198246920622, 67.64
76561199308557371, 67.63
76561198414192205, 67.63
76561198011654843, 67.62
76561198451286504, 67.61
76561198835688708, 67.61
76561198225259716, 67.60
76561198305594839, 67.59
76561199317596275, 67.58
76561198882208453, 67.56
76561199093119285, 67.55
76561199152393883, 67.54
76561198064962085, 67.53
76561198318541989, 67.53
76561198379045546, 67.52
76561198146813995, 67.52
76561199204188819, 67.52
76561199114742711, 67.50
76561199081687962, 67.50
76561198848633869, 67.50
76561198824877990, 67.50
76561198398976150, 67.50
76561198322657700, 67.50
76561198154066568, 67.50
76561198134494502, 67.50
76561198094086183, 67.48
76561198208374369, 67.47
76561198336826959, 67.47
76561198275504091, 67.46
76561199021353815, 67.45
76561198393107825, 67.45
76561198436008486, 67.45
76561198971778950, 67.43
76561198819362313, 67.43
76561198283821056, 67.43
76561198088591563, 67.43
76561199130193894, 67.42
76561199481959173, 67.42
76561198142794327, 67.41
76561198344471785, 67.40
76561198225338964, 67.39
76561198057525120, 67.39
76561198985088029, 67.38
76561199615773793, 67.36
76561198343927285, 67.36
76561198061858109, 67.36
76561199378904155, 67.35
76561198952001130, 67.33
76561198836738238, 67.33
76561198271377705, 67.33
76561198135507576, 67.32
76561199112774177, 67.31
76561198877729306, 67.30
76561199229590719, 67.29
76561198114774533, 67.29
76561197972730703, 67.29
76561199193913640, 67.28
76561198071633975, 67.28
76561198176499450, 67.27
76561198847306416, 67.27
76561199076217376, 67.25
76561198798813623, 67.24
76561199064623850, 67.22
76561198967444254, 67.22
76561198388006771, 67.20
76561199044019900, 67.19
76561198192114637, 67.19
76561199040892651, 67.15
76561198851995205, 67.13
76561199224279527, 67.11
76561199076566865, 67.09
76561198127285323, 67.08
76561199249323716, 67.00
76561199194264575, 67.00
76561198181972082, 67.00
76561197979456525, 67.00
76561199006165487, 66.96
76561199232523408, 66.95
76561198844557151, 66.94
76561199151940529, 66.89
76561199317766495, 66.88
76561198879225299, 66.86
76561199155723283, 66.85
76561199571932515, 66.84
76561199258432305, 66.84
76561199214417986, 66.83
76561198394047318, 66.83
76561199407802328, 66.80
76561198274185514, 66.79
76561198087771791, 66.77
76561199229654928, 66.77
76561198145417434, 66.77
76561199242565045, 66.74
76561198053280895, 66.74
76561199077687732, 66.73
76561198821577248, 66.72
76561198260004390, 66.72
76561198059784770, 66.71
76561199479065430, 66.71
76561198180482063, 66.70
76561199031108022, 66.70
76561199080431641, 66.70
76561199162725264, 66.67
76561198320071557, 66.60
76561198196500478, 66.60
76561198142108739, 66.60
76561198861678603, 66.59
76561199107351457, 66.58
76561199093187128, 66.58
76561199216709311, 66.58
76561199049808954, 66.58
76561199443608543, 66.57
76561199573510903, 66.56
76561199722158440, 66.56
76561198237733480, 66.56
76561199166797893, 66.56
76561199014963747, 66.53
76561199000675784, 66.50
76561198308845082, 66.48
76561198267518630, 66.48
76561199518658173, 66.47
76561199434699578, 66.47
76561198973351875, 66.46
76561198018521873, 66.44
76561199003580549, 66.44
76561198977279159, 66.43
76561199384381498, 66.43
76561198999639066, 66.43
76561198334188031, 66.43
76561199217894210, 66.42
76561199139260765, 66.41
76561198964049137, 66.41
76561198815307681, 66.41
76561198269446576, 66.39
76561199128163147, 66.38
76561198872825291, 66.36
76561199375529372, 66.36
76561198040185482, 66.35
76561198981846495, 66.35
76561199204631131, 66.33
76561198345466410, 66.33
76561198275073721, 66.32
76561198958186216, 66.32
76561198126665179, 66.32
76561198000873013, 66.30
76561199496552089, 66.30
76561198155277991, 66.30
76561198117400110, 66.29
76561198968135084, 66.29
76561198328322726, 66.29
76561198290239742, 66.28
