steamid,wave
76561199631021072, 83.67
76561198303988912, 83.67
76561198843620297, 83.64
76561198992910670, 83.60
76561198865905183, 83.60
76561198412863120, 83.60
76561198859033986, 83.59
76561199046177015, 83.58
76561199219052673, 83.53
76561198935338296, 83.52
76561199107492535, 83.52
76561198882650015, 83.52
76561198880520205, 83.48
76561199195414858, 83.47
76561198852321968, 83.45
76561198340834917, 83.44
76561199163684730, 83.43
76561199001761957, 83.43
76561199523618623, 83.42
76561198061307101, 83.40
76561199513631817, 83.38
76561199224670403, 83.38
76561198292456744, 83.37
76561198870789170, 83.35
76561198183833975, 83.35
76561199498509030, 83.33
76561199094168428, 83.33
76561198161560332, 83.30
76561199014129037, 83.29
76561198953214430, 83.29
76561199480925853, 83.27
76561199077460443, 83.27
76561198111834750, 83.26
76561199219665391, 83.25
76561199073087744, 83.20
76561198381523387, 83.19
76561198285100224, 83.14
76561199186057473, 83.14
76561198098110213, 83.13
76561198096719064, 83.12
76561198881942696, 83.00
76561199775342856, 83.00
76561199533521388, 83.00
76561199677041587, 82.97
76561198148691211, 82.89
76561198293980124, 82.88
76561198349330393, 82.88
76561198862097457, 82.85
76561198961336395, 82.83
76561199076217376, 82.82
76561199228727714, 82.82
76561199133659180, 82.81
76561198281433574, 82.79
76561199788315095, 82.79
76561199553235266, 82.76
76561198166536378, 82.76
76561199062912101, 82.76
76561199811100660, 82.75
76561199102277885, 82.73
76561199133599251, 82.73
76561198400992209, 82.72
76561199105340087, 82.69
76561199652174514, 82.68
76561198043624842, 82.67
76561198829395929, 82.65
76561198103211035, 82.64
76561199381767469, 82.63
76561199101930647, 82.63
76561198446611563, 82.62
76561198070674260, 82.61
76561199149714594, 82.61
76561199841748925, 82.61
76561198142258647, 82.60
76561198131829815, 82.60
76561198988393447, 82.59
76561199091572256, 82.57
76561198867832409, 82.56
76561198400784869, 82.56
76561199520021952, 82.55
76561199163771332, 82.51
